"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","data","date","data_type"
"CCSP","A148","PERO","M",1.361727836,"A",0,0,NA,0,NA,NA,NA,1,1,1,1,1,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0.693147180559945,84.8209991455078,"2018-04-01","ppt"
"CCSP","A148","PERO","M",1.361727836,"A",0,0,NA,0,NA,NA,NA,1,1,1,1,1,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0.693147180559945,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A148","PERO","M",1.361727836,"A",0,0,NA,0,NA,NA,NA,1,1,1,1,1,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0.693147180559945,13.9700002670288,"2018-04-01","tmean"
"CCSP","A149","PERO","M",1.292256071,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,84.8209991455078,"2018-04-01","ppt"
"CCSP","A149","PERO","M",1.292256071,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A149","PERO","M",1.292256071,"A",0,0,NA,0,NA,NA,NA,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,1.09861228866811,13.9700002670288,"2018-04-01","tmean"
"CCSP","A15","PERO","F",1.089905111,"J",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,84.8209991455078,"2018-04-01","ppt"
"CCSP","A15","PERO","F",1.089905111,"J",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A15","PERO","F",1.089905111,"J",0,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,13.9700002670288,"2018-04-01","tmean"
"CCSP","A17","PERO","M",1.220108088,"A",0,0,NA,0,NA,NA,NA,1,11,1,1,11,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.484906649788,84.8209991455078,"2018-04-01","ppt"
"CCSP","A17","PERO","M",1.220108088,"A",0,0,NA,0,NA,NA,NA,1,11,1,1,11,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.484906649788,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","A17","PERO","M",1.220108088,"A",0,0,NA,0,NA,NA,NA,1,11,1,1,11,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.484906649788,13.9700002670288,"2018-04-01","tmean"
"CCSP","A18","NEFU","F",1.86923172,"J",0,0,NA,0,0,0,0,1,14,1,1,14,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,2.70805020110221,84.8209991455078,"2018-04-01","ppt"
"CCSP","A18","NEFU","F",1.86923172,"J",0,0,NA,0,0,0,0,1,14,1,1,14,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,2.70805020110221,12.1979999542236,"2018-04-01","vpdmax"
